iteracja,id_czastki,x,y,fitness
7,1,6.2860,1.0004,26.4000
7,2,6.5363,1.1984,26.4000
7,3,4.4395,0.8653,24.6300
7,4,6.7028,1.2160,26.4000
7,5,6.7363,1.2331,26.4000
7,6,6.2465,1.2587,26.4000
7,7,6.8189,1.4377,26.4000
7,8,6.9739,0.6518,25.2000
7,9,6.9331,1.0816,26.4000
7,10,6.5548,1.2805,26.4000
7,11,6.6677,1.1779,26.4000
7,12,6.5420,1.2638,26.4000
7,13,6.9725,1.3089,26.4000
7,14,6.5895,1.1608,26.4000
7,15,6.6637,1.2386,26.4000
7,16,6.7937,1.2048,26.4000
7,17,6.6353,1.2235,26.4000
7,18,6.7490,1.6718,26.4000
7,19,6.4057,1.1835,26.4000
8,0,6.5544,1.2665,26.4000
8,1,6.4328,1.2625,26.4000
8,2,6.4414,1.1949,26.4000
8,3,6.7989,0.1377,25.2000
8,4,6.4671,1.1921,26.4000
8,5,6.8632,1.2411,26.4000
8,6,6.4859,1.2687,26.4000
8,7,6.7400,1.1762,26.4000
8,8,6.6323,1.4325,26.4000
8,9,6.8158,0.9093,25.2000
8,10,6.5127,1.2431,26.4000
8,11,7.0457,1.2024,-1000000000.0000
8,12,6.4645,1.1886,26.4000
8,13,7.1045,1.3151,-1000000000.0000
8,14,6.8093,0.9355,25.2000
8,15,6.6463,1.5014,26.4000
8,16,7.1394,1.1453,-1000000000.0000
8,17,6.7581,1.2176,26.4000
8,18,6.5507,1.3375,26.4000
8,19,6.7773,1.1828,26.4000
9,0,6.4981,1.2469,26.4000
9,1,6.7369,1.3419,26.4000
9,2,6.3240,1.2792,26.4000
9,3,7.9419,0.0214,-1000000000.0000
9,4,6.3263,1.1955,26.4000
9,5,6.7179,1.2372,26.4000
9,6,6.8591,1.2697,26.4000
9,7,6.7727,0.9987,25.2000
9,8,6.4277,1.7535,26.4000
9,9,6.7496,1.1886,26.4000
9,10,6.4814,1.1892,26.4000
9,11,6.9573,1.2343,26.4000
9,12,6.4948,1.1606,26.4000
9,13,6.9723,1.5400,26.4000
9,14,6.8087,1.1252,26.4000
9,15,6.3769,1.4656,26.4000
9,16,7.0205,1.1440,-1000000000.0000
